cluster,subcategory,count
-1,canteen,12
-1,car_parking,5
-1,cafe,4
-1,parking_multilevel,4
-1,atm_or_payment,2
-1,supermarket,2
-1,fast_food,1
-1,kindergarten,1
-1,school,1
0,kindergarten,2
0,supermarket,2
0,cafe,1
0,parking_multilevel,1
0,school,1
0,unknown,1
1,canteen,4
1,cafe,1
1,parking_multilevel,1
1,unknown,1
2,kindergarten,71
2,supermarket,60
2,bank,48
2,cafe,39
2,school,35
2,canteen,22
2,parking_multilevel,17
2,unknown,16
2,kindergarten_private,15
2,clinic_adult,14
2,grocery_store,13
2,atm_or_payment,12
2,car_parking,8
2,clinic_child,8
2,clinic_dental,5
2,lyceum,5
2,fast_food,3
2,atm,1
2,finance_other,1
2,special_school,1
3,canteen,5
3,supermarket,4
3,atm_or_payment,3
3,cafe,2
3,grocery_store,2
3,kindergarten,1
3,unknown,1
4,kindergarten,18
4,supermarket,10
4,school,9
4,bank,8
4,cafe,8
4,parking_multilevel,4
4,kindergarten_private,3
4,clinic_child,2
4,fast_food,2
4,lyceum,2
4,canteen,1
4,car_parking,1
4,clinic_adult,1
4,grocery_store,1
4,unknown,1
